iso_time,t_mono,armed,flight_mode,lat_deg,lon_deg,alt_m,rel_alt_m,roll_deg,pitch_deg,yaw_deg,groundspeed_ms,heading_deg,battery_v,battery_pct
2026-07-10T23:41:17,533704.732779193,,,,,,,0.06950103012650109,0.05925862785753807,-4.902755463125227,,,,
2026-07-10T23:41:17,533704.733284932,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,,,,
2026-07-10T23:41:17,533704.733655338,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,0.014126208610832691,355.0,,
2026-07-10T23:41:17,533704.734439443,,,-35.363262,149.1652371,584.09,0.003,0.06950103012650109,0.05925862785753807,-4.902755463125227,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.815790929,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.816318159,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.014126208610832691,355.0,12.6,100.0
2026-07-10T23:41:17,533704.816728053,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.817137791,,,-35.363262,149.1652371,584.09,0.003,0.07098188050560465,0.061020936725320364,-4.91184857934463,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.898850487,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.89935134,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.008714021183550358,355.0,12.6,100.0
2026-07-10T23:41:17,533704.899778509,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.004109496716409922,355.0,12.6,100.0
2026-07-10T23:41:17,533704.900274119,,,-35.363262,149.1652371,584.09,0.003,0.0730679430080882,0.06338333507460514,-4.923135040061252,0.004109496716409922,355.0,12.6,100.0
